line,stop,seq,label
1,103,11,1
1,174,10,1
1,270,9,1
1,226,8,1
1,180,7,1
1,170,6,1
1,250,5,1
1,251,4,1
1,2,3,1
1,254,2,1
1,45,1,1
2,45,13,1
2,254,12,1
2,4,11,1
2,11,10,1
2,198,9,1
2,30,8,1
2,195,7,1
2,196,6,1
2,66,5,1
2,159,4,1
2,296,3,1
2,279,2,1
2,291,1,1
3,57,16,1
3,102,15,1
3,127,14,1
3,295,13,1
3,60,12,1
3,51,11,1
3,52,10,1
3,280,9,1
3,21,8,1
3,19,7,1
3,109,6,1
3,247,5,1
3,5,4,1
3,108,3,1
3,6,2,1
3,189,1,1
4,246,17,1
4,245,16,1
4,143,15,1
4,117,14,1
4,94,13,1
4,209,12,1
4,147,11,1
4,60,10,1
4,44,9,1
4,45,8,1
4,254,7,1
4,4,6,1
4,198,5,1
4,199,4,1
4,68,3,1
4,124,2,1
4,157,1,1
5,60,15,1
5,51,14,1
5,138,13,1
5,17,12,1
5,110,11,1
5,32,10,1
5,31,9,1
5,284,8,1
5,158,7,1
5,160,6,1
5,161,5,1
5,164,4,1
5,168,3,1
5,163,2,1
5,167,1,1
6,262,20,1
6,286,19,1
6,126,18,1
6,29,17,1
6,300,16,1
6,289,15,1
6,139,14,1
6,17,13,1
6,110,12,1
6,32,11,1
6,31,10,1
6,284,9,1
6,158,8,1
6,161,7,1
6,164,6,1
6,162,5,1
6,88,4,1
6,165,3,1
6,166,2,1
6,167,1,1
7,276,22,1
7,49,21,1
7,192,20,1
7,210,19,1
7,56,18,1
7,84,17,1
7,72,16,1
7,50,15,1
7,123,14,1
7,293,13,1
7,194,12,1
7,203,11,1
7,283,10,1
7,282,9,1
7,122,8,1
7,3,7,1
7,254,6,1
7,43,5,1
7,55,4,1
7,175,3,1
7,46,2,1
7,230,1,1
8,61,16,1
8,47,15,1
8,53,14,1
8,131,13,1
8,16,12,1
8,17,11,1
8,110,10,1
8,32,9,1
8,31,8,1
8,33,7,1
8,284,6,1
8,158,5,1
8,86,4,1
8,178,3,1
8,140,2,1
8,24,1,1
9,116,15,1
9,65,14,1
9,87,13,1
9,193,12,1
9,260,11,1
9,259,10,1
9,1,9,1
9,162,8,1
9,161,7,1
9,158,6,1
9,285,5,1
9,76,4,1
9,18,3,1
9,63,2,1
9,13,1,1
10,80,10,1
10,81,9,1
10,78,8,1
10,79,7,1
10,26,6,1
10,37,5,1
10,176,4,1
10,287,3,1
10,138,2,1
10,47,1,1
11,9,22,1
11,8,21,1
11,64,20,1
11,134,19,1
11,15,18,1
11,139,17,1
11,135,16,1
11,289,15,1
11,300,14,1
11,203,13,1
11,283,12,1
11,282,11,1
11,122,10,1
11,3,9,1
11,253,8,1
11,249,7,1
11,252,6,1
11,40,5,1
11,156,4,1
11,154,3,1
11,155,2,1
11,105,1,1
12,45,22,1
12,254,21,1
12,4,20,1
12,11,19,1
12,200,18,1
12,27,17,1
12,197,16,1
12,223,15,1
12,39,14,1
12,104,13,1
12,258,12,1
12,34,11,1
12,35,10,1
12,36,9,1
12,41,8,1
12,236,7,1
12,257,6,1
12,191,5,1
12,228,4,1
12,71,3,1
12,70,2,1
12,235,1,1
13,222,13,1
13,237,12,1
13,133,11,1
13,171,10,1
13,182,9,1
13,183,8,1
13,132,7,1
13,89,6,1
13,90,5,1
13,110,4,1
13,17,3,1
13,15,2,1
13,13,1,1
14,49,17,1
14,192,16,1
14,210,15,1
14,56,14,1
14,104,13,1
14,39,12,1
14,220,11,1
14,195,10,1
14,27,9,1
14,198,8,1
14,11,7,1
14,4,6,1
14,254,5,1
14,45,4,1
14,44,3,1
14,272,2,1
14,60,1,1
15,278,12,1
15,144,11,1
15,288,10,1
15,208,9,1
15,47,8,1
15,138,7,1
15,17,6,1
15,110,5,1
15,240,4,1
15,239,3,1
15,241,2,1
15,76,1,1
16,225,15,1
16,28,14,1
16,195,13,1
16,220,12,1
16,222,11,1
16,237,10,1
16,133,9,1
16,98,8,1
16,97,7,1
16,99,6,1
16,100,5,1
16,211,4,1
16,192,3,1
16,49,2,1
16,35,1,1
17,83,18,1
17,72,17,1
17,50,16,1
17,222,15,1
17,67,14,1
17,66,13,1
17,159,12,1
17,279,11,1
17,234,10,1
17,219,9,1
17,240,8,1
17,239,7,1
17,241,6,1
17,76,5,1
17,284,4,1
17,158,3,1
17,161,2,1
17,169,1,1
18,51,19,1
18,96,18,1
18,95,17,1
18,173,16,1
18,271,15,1
18,212,14,1
18,218,13,1
18,290,12,1
18,136,11,1
18,137,10,1
18,292,9,1
18,113,8,1
18,115,7,1
18,114,6,1
18,133,5,1
18,237,4,1
18,222,3,1
18,223,2,1
18,83,1,1
19,21,22,1
19,23,21,1
19,106,20,1
19,14,19,1
19,0,18,1
19,12,17,1
19,172,16,1
19,130,15,1
19,128,14,1
19,16,13,1
19,139,12,1
19,185,11,1
19,184,10,1
19,256,9,1
19,234,8,1
19,115,7,1
19,114,6,1
19,98,5,1
19,97,4,1
19,99,3,1
19,100,2,1
19,101,1,1
20,61,13,1
20,60,12,1
20,51,11,1
20,110,10,1
20,178,9,1
20,265,8,1
20,264,7,1
20,266,6,1
20,267,5,1
20,77,4,1
20,268,3,1
20,281,2,1
20,69,1,1
21,187,25,1
21,188,24,1
21,149,23,1
21,152,22,1
21,150,21,1
21,151,20,1
21,277,19,1
21,178,18,1
21,86,17,1
21,158,16,1
21,284,15,1
21,139,14,1
21,135,13,1
21,289,12,1
21,300,11,1
21,82,10,1
21,204,9,1
21,29,8,1
21,198,7,1
21,11,6,1
21,4,5,1
21,254,4,1
21,45,3,1
21,38,2,1
21,261,1,1
22,60,18,1
22,51,17,1
22,138,16,1
22,284,15,1
22,158,14,1
22,86,13,1
22,178,12,1
22,140,11,1
22,25,10,1
22,141,9,1
22,229,8,1
22,118,7,1
22,119,6,1
22,232,5,1
22,231,4,1
22,233,3,1
22,145,2,1
22,120,1,1
23,273,16,1
23,129,15,1
23,139,14,1
23,178,13,1
23,112,12,1
23,216,11,1
23,298,10,1
23,107,9,1
23,297,8,1
23,74,7,1
23,73,6,1
23,179,5,1
23,177,4,1
23,299,3,1
23,275,2,1
23,186,1,1
24,288,12,1
24,243,11,1
24,242,10,1
24,244,9,1
24,148,8,1
24,117,7,1
24,125,6,1
24,121,5,1
24,75,4,1
24,10,3,1
24,62,2,1
24,21,1,1
25,248,17,1
25,238,16,1
25,294,15,1
25,142,14,1
25,202,13,1
25,201,12,1
25,181,11,1
25,153,10,1
25,227,9,1
25,224,8,1
25,263,7,1
25,190,6,1
25,221,5,1
25,222,4,1
25,50,3,1
25,72,2,1
25,83,1,1
26,45,8,1
26,254,7,1
26,27,6,1
26,269,5,1
26,205,4,1
26,215,3,1
26,213,2,1
26,214,1,1
27,224,8,1
27,263,7,1
27,190,6,1
27,221,5,1
27,39,4,1
27,104,3,1
27,84,2,1
27,83,1,1
28,61,12,1
28,121,11,1
28,75,10,1
28,10,9,1
28,62,8,1
28,22,7,1
28,274,6,1
28,93,5,1
28,91,4,1
28,92,3,1
28,255,2,1
28,59,1,1
29,42,18,1
29,20,17,1
29,7,16,1
29,58,15,1
29,48,14,1
29,207,13,1
29,54,12,1
29,111,11,1
29,206,10,1
29,146,9,1
29,85,8,1
29,217,7,1
29,109,6,1
29,21,5,1
29,52,4,1
29,51,3,1
29,44,2,1
29,261,1,1
30,45,11,1
30,254,10,1
30,2,9,1
30,251,8,1
30,250,7,1
30,170,6,1
30,180,5,1
30,226,4,1
30,270,3,1
30,174,2,1
30,103,1,1
31,291,13,1
31,279,12,1
31,296,11,1
31,159,10,1
31,66,9,1
31,196,8,1
31,195,7,1
31,30,6,1
31,198,5,1
31,11,4,1
31,4,3,1
31,254,2,1
31,45,1,1
32,189,16,1
32,6,15,1
32,108,14,1
32,5,13,1
32,247,12,1
32,109,11,1
32,19,10,1
32,21,9,1
32,280,8,1
32,52,7,1
32,51,6,1
32,60,5,1
32,295,4,1
32,127,3,1
32,102,2,1
32,57,1,1
33,157,17,1
33,124,16,1
33,68,15,1
33,199,14,1
33,198,13,1
33,4,12,1
33,254,11,1
33,45,10,1
33,44,9,1
33,60,8,1
33,147,7,1
33,209,6,1
33,94,5,1
33,117,4,1
33,143,3,1
33,245,2,1
33,246,1,1
34,167,15,1
34,163,14,1
34,168,13,1
34,164,12,1
34,161,11,1
34,160,10,1
34,158,9,1
34,284,8,1
34,31,7,1
34,32,6,1
34,110,5,1
34,17,4,1
34,138,3,1
34,51,2,1
34,60,1,1
35,167,20,1
35,166,19,1
35,165,18,1
35,88,17,1
35,162,16,1
35,164,15,1
35,161,14,1
35,158,13,1
35,284,12,1
35,31,11,1
35,32,10,1
35,110,9,1
35,17,8,1
35,139,7,1
35,289,6,1
35,300,5,1
35,29,4,1
35,126,3,1
35,286,2,1
35,262,1,1
36,230,22,1
36,46,21,1
36,175,20,1
36,55,19,1
36,43,18,1
36,254,17,1
36,3,16,1
36,122,15,1
36,282,14,1
36,283,13,1
36,203,12,1
36,194,11,1
36,293,10,1
36,123,9,1
36,50,8,1
36,72,7,1
36,84,6,1
36,56,5,1
36,210,4,1
36,192,3,1
36,49,2,1
36,276,1,1
37,24,16,1
37,140,15,1
37,178,14,1
37,86,13,1
37,158,12,1
37,284,11,1
37,33,10,1
37,31,9,1
37,32,8,1
37,110,7,1
37,17,6,1
37,16,5,1
37,131,4,1
37,53,3,1
37,47,2,1
37,61,1,1
38,13,15,1
38,63,14,1
38,18,13,1
38,76,12,1
38,285,11,1
38,158,10,1
38,161,9,1
38,162,8,1
38,1,7,1
38,259,6,1
38,260,5,1
38,193,4,1
38,87,3,1
38,65,2,1
38,116,1,1
39,47,10,1
39,138,9,1
39,287,8,1
39,176,7,1
39,37,6,1
39,26,5,1
39,79,4,1
39,78,3,1
39,81,2,1
39,80,1,1
40,105,22,1
40,155,21,1
40,154,20,1
40,156,19,1
40,40,18,1
40,252,17,1
40,249,16,1
40,253,15,1
40,3,14,1
40,122,13,1
40,282,12,1
40,283,11,1
40,203,10,1
40,300,9,1
40,289,8,1
40,135,7,1
40,139,6,1
40,15,5,1
40,134,4,1
40,64,3,1
40,8,2,1
40,9,1,1
41,235,22,1
41,70,21,1
41,71,20,1
41,228,19,1
41,191,18,1
41,257,17,1
41,236,16,1
41,41,15,1
41,36,14,1
41,35,13,1
41,34,12,1
41,258,11,1
41,104,10,1
41,39,9,1
41,223,8,1
41,197,7,1
41,27,6,1
41,200,5,1
41,11,4,1
41,4,3,1
41,254,2,1
41,45,1,1
42,13,13,1
42,15,12,1
42,17,11,1
42,110,10,1
42,90,9,1
42,89,8,1
42,132,7,1
42,183,6,1
42,182,5,1
42,171,4,1
42,133,3,1
42,237,2,1
42,222,1,1
43,60,17,1
43,272,16,1
43,44,15,1
43,45,14,1
43,254,13,1
43,4,12,1
43,11,11,1
43,198,10,1
43,27,9,1
43,195,8,1
43,220,7,1
43,39,6,1
43,104,5,1
43,56,4,1
43,210,3,1
43,192,2,1
43,49,1,1
44,76,12,1
44,241,11,1
44,239,10,1
44,240,9,1
44,110,8,1
44,17,7,1
44,138,6,1
44,47,5,1
44,208,4,1
44,288,3,1
44,144,2,1
44,278,1,1
45,35,15,1
45,49,14,1
45,192,13,1
45,211,12,1
45,100,11,1
45,99,10,1
45,97,9,1
45,98,8,1
45,133,7,1
45,237,6,1
45,222,5,1
45,220,4,1
45,195,3,1
45,28,2,1
